TotalPackets, totalPacketsIn, totalPacketsOut, totalBytes, totalBytesIn, totalBytesOut, minPacketSize, maxPacketSize, meanPacketSizes, stdevPacketSizes, variancePacketSizes, kurtosisPacketSizes, skewPacketSizes, p10PacketSizes, p20PacketSizes, p30PacketSizes, p40PacketSizes, p50PacketSizes, p60PacketSizes, p70PacketSizes, p80PacketSizes, p90PacketSizes, minPacketSizeIn, maxPacketSizeIn, meanPacketSizesIn, stdevPacketSizesIn, variancePacketSizesIn, skewPacketSizesIn, kurtosisPacketSizesIn, p10PacketSizesIn, p20PacketSizesIn, p30PacketSizesIn, p40PacketSizesIn, p50PacketSizesIn, p60PacketSizesIn, p70PacketSizesIn, p80PacketSizesIn, p90PacketSizesIn, minPacketSizeOut, maxPacketSizeOut, meanPacketSizesOut, stdevPacketSizesOut, variancePacketSizesOut, skewPacketSizesOut, kurtosisPacketSizesOut, p10PacketSizesOut, p20PacketSizesOut, p30PacketSizesOut, p40PacketSizesOut, p50PacketSizesOut, p60PacketSizesOut, p70PacketSizesOut, p80PacketSizesOut, p90PacketSizesOut, maxIPT, minIPT, meanPacketTimes, stdevPacketTimes, variancePacketTimes, kurtosisPacketTimes, skewPacketTimes, p10PacketTimes, p20PacketTimes, p30PacketTimes, p40PacketTimes, p50PacketTimes, p60PacketTimes, p70PacketTimes, p80PacketTimes, p90PacketTimes, minPacketTimesIn, maxPacketTimesIn, meanPacketTimesIn, stdevPacketTimesIn, variancePacketTimesIn, skewPacketTimesIn, kurtosisPacketTimesIn, p10PacketTimesIn, p20PacketTimesIn, p30PacketTimesIn, p40PacketTimesIn, p50PacketTimesIn, p60PacketTimesIn, p70PacketTimesIn, p80PacketTimesIn, p90PacketTimesIn, minPacketTimesOut, maxPacketTimesOut, meanPacketTimesOut, stdevPacketTimesOut, variancePacketTimesOut, skewPacketTimesOut, kurtosisPacketTimesOut, p10PacketTimesOut, p20PacketTimesOut, p30PacketTimesOut, p40PacketTimesOut, p50PacketTimesOut, p60PacketTimesOut, p70PacketTimesOut, p80PacketTimesOut, p90PacketTimesOut, totalBursts, maxBurst, meanBurst, stdevBurst, varianceBurst, kurtosisBurst, skewBurst, p10Burst, p20Burst, p30Burst, p40Burst, p50Burst, p60Burst, p70Burst, p80Burst, p90Burst, maxBurstBytes, minBurstBytes, meanBurstBytes, medianBurstBytes, stdevBurstBytes, varianceBurstBytes, kurtosisBurstBytes, skewBurstBytes, p10BurstBytes, p20BurstBytes, p30BurstBytes, p40BurstBytes, p50BurstBytes, p60BurstBytes, p70BurstBytes, p80BurstBytes, p90BurstBytes, Class
24456, 16253, 8203, 18431015, 17708776, 722239, 60, 1392, 753.6398020935558, 626.3539240259055, 392319.2381426498, -1.9328737852377789, -0.02978543043619789, 81.0, 81.0, 81.0, 122.0, 758.0, 1392.0, 1392.0, 1392.0, 1392.0, 60, 1392, 1089.569679443795, 501.5777157191594, 251580.20490604988, -1.195099000533257, -0.3993123617140082, 120.0, 407.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 65, 1392, 88.04571498232355, 67.55628574828235, 4563.8517441035765, 11.342825337725529, 151.30752726698688, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 0.5359539985656738, 0.0, 0.0024513837677451198, 0.01758465602474884, 0.00030922012750873564, 344.3005676037083, 16.984282498240194, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 2.1457672119140625e-06, 9.012222290039062e-05, 0.0001800060272216797, 0.0002551078796386719, 0.00046124458312988333, 0.003917169570922856, 0.0, 0.5359539985656738, 0.003257060268081939, 0.020793676082612674, 0.0004323769650286183, 14.723691448538723, 255.69895985477945, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.1457672119140625e-06, 0.00027158260345458906, 0.001419830322265626, 0.006820535659790037, 0.0, 0.24405789375305176, 0.0008551562310543988, 0.007834830355509442, 6.138456669961222e-05, 23.45978762961342, 634.7872147175817, 6.699562072753906e-05, 0.00010704994201660156, 0.00015878677368164062, 0.0001780986785888672, 0.00018596649169921875, 0.00020503997802734375, 0.0002529621124267578, 0.00031113624572753906, 0.00041222572326660156, 1278, 19, 4.694053208137715, 2.6343961135197365, 6.940042882927893, 0.6584541474610752, 0.8963778729389303, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 3108, 146, 412.679186228482, 402.0, 254.78329566800576, 64914.52775145045, 17.445829112214, 2.4041473151975343, 162.0, 162.0, 243.0, 298.0, 402.0, 486.0, 567.0, 648.0, 729.0, CovertCast_home_world
20558, 13651, 6907, 15695659, 15065575, 630084, 60, 1392, 763.4818075688297, 629.9286064016696, 396810.04916314967, -1.9432624930128433, -0.05961575882658252, 83.0, 83.0, 83.0, 119.0, 943.5, 1392.0, 1392.0, 1392.0, 1392.0, 60, 1392, 1103.624276609772, 500.4224786003043, 250422.657088472, -1.2783322399881365, -0.22126876319682953, 118.0, 410.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 65, 1392, 91.22397567684958, 74.40544171439764, 5536.169756714625, 10.718365812803663, 134.29606190386113, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 4.652820110321045, 0.0, 0.0028960215950856534, 0.04152869612716513, 0.00172463260202242, 7889.1912908149125, 76.32388473491258, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 2.1457672119140625e-06, 8.296966552734375e-05, 0.00017786026000976562, 0.0002598762512207031, 0.0004811286926269531, 0.0035475254058837946, 0.0, 1.517279863357544, 0.0033575215182461583, 0.0256620518358482, 0.0006585409044257601, 24.646230388324657, 1028.3294003413323, 0.0, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.1457672119140625e-06, 0.00032598972320556623, 0.0012852668762207038, 0.006263113021850586, 0.0, 4.652820110321045, 0.0019839796157688897, 0.06188901322882357, 0.0038302499584374986, 65.19754457200449, 4702.680180412862, 5.984306335449219e-05, 8.487701416015625e-05, 0.00012106895446777337, 0.000164031982421875, 0.00018310546875, 0.00020194053649902344, 0.00024819374084472656, 0.000308990478515625, 0.0004069805145263672, 1287, 19, 3.8873348873348874, 2.102771981630817, 4.421650006731593, 4.433300565808741, 1.6088908730058726, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 6.0, 7.0, 3088, 146, 351.34965034965035, 329.0, 230.60617841672146, 53179.20952396477, 28.81456927099851, 3.6015838386970054, 166.0, 166.0, 166.0, 249.0, 329.0, 332.0, 415.0, 498.0, 664.0, CovertCast_home_world
20689, 13681, 7008, 15905342, 15209246, 696096, 58, 1392, 768.7825414471458, 629.7727377598055, 396613.7012254808, -1.9402896529733493, -0.07499183416046336, 83.0, 83.0, 83.0, 126.0, 1009.0, 1392.0, 1392.0, 1392.0, 1392.0, 58, 1392, 1111.705723265843, 494.8450971204341, 244871.67014413187, -1.3184766265938694, -0.1092986601335797, 120.0, 437.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 66, 1392, 99.32876712328768, 122.90052435634476, 15104.538887064491, 8.856557561706351, 83.8816505583817, 81.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 85.0, 2.6256260871887207, 0.0, 0.002821723066921485, 0.03372444220710391, 0.0011373380021802919, 2375.6751256357047, 41.05978872389038, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 3.0994415283203125e-06, 8.797645568847656e-05, 0.00018095970153808594, 0.0002830028533935547, 0.0005171298980712891, 0.0030963897705078066, 0.0, 2.6256260871887207, 0.0033122597382082577, 0.03292654884080453, 0.0010841576185658863, 45.4561470790301, 3143.184128692219, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.86102294921875e-06, 0.00034999847412109375, 0.0012350082397460938, 0.0054103851318359425, 0.0, 1.4529821872711182, 0.00186416860584799, 0.03521025985228454, 0.0012397623988654007, 33.951648738483776, 1209.687336533073, 5.888938903808594e-05, 8.702278137207031e-05, 0.00013399124145507812, 0.00017595291137695312, 0.00018596649169921875, 0.00021233558654785143, 0.00026607513427734375, 0.0003478527069091797, 0.00043892860412597656, 1396, 23, 3.745702005730659, 2.1665476035963924, 4.693928518649272, 8.329925530091874, 2.1075886211702266, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 5.0, 7.0, 26042, 158, 381.33739255014325, 249.0, 881.1107920442305, 776356.2278568113, 581.5446656369535, 22.417873754295762, 166.0, 166.0, 166.0, 249.0, 249.0, 332.0, 415.0, 498.0, 664.0, CovertCast_home_world
21008, 13937, 7071, 16117491, 15482538, 634953, 60, 1392, 767.207301980198, 629.2026956297407, 395896.0321877321, -1.9385758901412367, -0.07108959062298052, 83.0, 83.0, 85.0, 121.0, 971.0, 1392.0, 1392.0, 1392.0, 1392.0, 60, 1392, 1110.8945971155915, 493.9501440345867, 243986.74479178895, -1.314478556977942, -0.11160976902853426, 119.0, 460.40000000000055, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 65, 681, 89.79677556215528, 60.0673983479488, 3608.0923442911626, 9.054924824104372, 80.81337817573248, 81.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 85.0, 1.6309618949890137, 0.0, 0.0027214039193174853, 0.027732157671296467, 0.0007690725691056475, 1267.6025796045412, 30.189476092502403, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 2.1457672119140625e-06, 8.106231689453125e-05, 0.00017786026000976562, 0.00024890899658203125, 0.0004439353942871094, 0.0025595664978027358, 0.0, 1.330221176147461, 0.0033878115625046857, 0.028677940832399215, 0.0008224242903865901, 23.49762300181215, 786.491148665852, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.1457672119140625e-06, 0.00015516281127929583, 0.0010288238525390635, 0.005123472213745109, 0.0, 1.6309618949890137, 0.0014077231098266775, 0.025715750104721248, 0.0006612998034484709, 48.220877488810096, 2699.213283886997, 6.890296936035156e-05, 0.00010085105895996094, 0.00015091896057128906, 0.0001780986785888672, 0.00018656253814697266, 0.00020747184753417943, 0.00026798248291015625, 0.00034999847412109375, 0.0004429817199707031, 1260, 21, 4.3126984126984125, 2.4346696958915635, 5.927616528092718, 2.7539591564840054, 1.3259437505353915, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0, 6.0, 8.0, 2413, 158, 390.9825396825397, 332.0, 239.51418358748978, 57367.044139581754, 6.163436577747195, 1.7432454111315563, 166.0, 166.0, 247.0, 249.0, 332.0, 415.0, 498.0, 581.0, 711.4000000000005, CovertCast_home_world
22503, 14939, 7564, 17183891, 16507885, 676006, 60, 1392, 763.626671999289, 627.5038380217737, 393761.0667320565, -1.936103541897719, -0.05800067953257432, 83.0, 83.0, 83.0, 127.0, 882.0, 1392.0, 1392.0, 1392.0, 1392.0, 60, 1392, 1105.0194122765915, 494.6009488050293, 244630.09855883522, -1.273724827544084, -0.21137623297536035, 124.0, 424.60000000000036, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 67, 795, 89.37149656266526, 59.08330450575071, 3490.8368713192626, 9.30190366748356, 85.4695112543979, 81.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 1.3392078876495361, 0.0, 0.0024355879975111153, 0.02231305252667245, 0.0004978723130580438, 1077.563260773286, 27.008527900941917, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 2.1457672119140625e-06, 7.998943328857422e-05, 0.00017905235290527344, 0.00026004314422607396, 0.0004560470581054686, 0.003156518936157232, 0.0, 0.7899041175842285, 0.0030239841626649466, 0.022257133895842413, 0.0004953800092574572, 16.74941350248091, 340.54408898794435, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.1457672119140625e-06, 0.0001850128173828125, 0.0011589527130126953, 0.0055597782135009795, 0.0, 1.3392078876495361, 0.0012733441377685418, 0.02237768143124229, 0.0005007606262381659, 47.11243966137391, 2517.2423768114395, 6.394386291503907e-05, 0.00010085105895996094, 0.00015497207641601562, 0.00017905235290527344, 0.00018787384033203125, 0.00021600723266601562, 0.00027298927307128906, 0.00035190582275390625, 0.00043892860412597656, 1353, 14, 4.271988174427199, 2.233903307011785, 4.99032398507819, 0.9476652891713364, 0.989547791151369, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0, 5.0, 6.0, 7.0, 1485, 158, 377.609756097561, 332.0, 203.9217383016657, 41584.075351973035, 1.3160047446596055, 1.0356417158085136, 166.0, 166.0, 249.0, 249.0, 332.0, 415.0, 498.0, 502.8000000000004, 664.0, CovertCast_home_world
21219, 14087, 7132, 16383366, 15745777, 637589, 60, 1392, 772.1082991658419, 627.1813901992684, 393356.496212287, -1.9317316763354913, -0.08470239381685751, 83.0, 83.0, 83.0, 134.0, 1010.0, 1392.0, 1392.0, 1392.0, 1392.0, 60, 1392, 1117.7523248385037, 485.0893328895002, 235311.66088318033, -1.3407278185717624, -0.023518563740902554, 131.0, 499.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 67, 680, 89.39834548513741, 58.790784343115654, 3456.3563236787327, 9.274566720626693, 84.87509765095828, 81.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 3.6519620418548584, 0.0, 0.0027922862705809983, 0.039716008631816416, 0.0015773613416425161, 4451.411803307333, 58.595285113988986, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 2.1457672119140625e-06, 7.82012939453125e-05, 0.0001800060272216797, 0.0002598762512207031, 0.0004555702209472672, 0.003040647506713866, 0.0, 2.028459072113037, 0.0033218775488818115, 0.030858162149943236, 0.0009522261712721894, 36.17914627076779, 1948.7339289043705, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.1457672119140625e-06, 0.00017845630645751953, 0.0011029243469238281, 0.005584597587585449, 0.0, 3.6519620418548584, 0.0017463212192426287, 0.053013032566655065, 0.0028103816219132304, 59.24646432764097, 3733.1798135332115, 6.4849853515625e-05, 0.000102996826171875, 0.00016188621520996094, 0.0001800060272216797, 0.00018906593322753906, 0.00021982192993164062, 0.0002719640731811523, 0.00035500526428222656, 0.0004410743713378906, 1271, 20, 4.265145554681354, 2.312631810617727, 5.348265891481026, 1.8810995364438794, 1.1022718094210044, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0, 5.0, 6.0, 8.0, 1660, 158, 382.04956726986626, 332.0, 213.63044091379214, 45637.96528502124, 1.4567763767940844, 1.0694300871114184, 166.0, 166.0, 244.0, 249.0, 332.0, 415.0, 498.0, 581.0, 688.0, CovertCast_home_world
24200, 16067, 8133, 18596876, 17877487, 719389, 60, 1392, 768.4659504132231, 625.8075891140118, 391635.1385926918, -1.9283849212797908, -0.07483770306098825, 83.0, 83.0, 83.0, 131.0, 938.0, 1392.0, 1392.0, 1392.0, 1392.0, 60, 1392, 1112.6835750295636, 485.5876354179995, 235795.351670844, -1.3140250640622486, -0.07949491330480729, 131.0, 499.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 67, 672, 88.45309233984999, 54.87889414735235, 3011.6930228363035, 9.935772194953726, 97.77590050408142, 81.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 0.522507905960083, -9.5367431640625e-07, 0.002454729029755833, 0.01941354236447392, 0.0003768856271372236, 304.7233974547047, 16.43982848998532, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 2.1457672119140625e-06, 0.0001010894775390625, 0.0001819133758544922, 0.0002720355987548828, 0.00046896934509277344, 0.0032307147979736394, 0.0, 0.522507905960083, 0.0032255619293159706, 0.02260723348793555, 0.0005110870059780346, 13.905704539942795, 216.20099514472065, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.1457672119140625e-06, 0.0002415180206298828, 0.0012290477752685547, 0.005677938461303711, -9.5367431640625e-07, 0.4829728603363037, 0.0009320189148740957, 0.010406278752145297, 0.00010829063746735067, 34.31576052499232, 1378.415006416792, 7.915496826171875e-05, 0.00012087821960449219, 0.00017404556274414062, 0.0001800060272216797, 0.00019097328186035156, 0.00022602081298828125, 0.0002789497375488281, 0.0003590583801269531, 0.0004450798034667969, 1464, 19, 4.206967213114754, 2.2537595994822412, 5.079432332258353, 1.8754615181008996, 1.1079505768502118, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0, 5.0, 6.0, 7.0, 1577, 158, 370.89071038251365, 332.0, 205.55202981941903, 42251.636962883334, 2.009867995156501, 1.149834746014432, 166.0, 166.0, 169.0, 249.0, 332.0, 415.0, 498.0, 501.0, 664.0, CovertCast_home_world
21749, 14433, 7316, 16293993, 15632745, 661248, 58, 1392, 749.1835486689043, 625.3772593445475, 391096.7165052974, -1.9329527973877043, -0.01014689595998302, 83.0, 83.0, 83.0, 122.0, 715.0, 1392.0, 1392.0, 1392.0, 1392.0, 58, 1392, 1083.1251299106216, 505.3519590436024, 255380.6025092068, -1.1538766717867577, -0.5026424017347546, 120.0, 396.4000000000001, 1352.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 65, 1392, 90.38381629305631, 69.4238102113024, 4819.665424254935, 10.932754511718608, 142.4738334954711, 81.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 2.1909279823303223, -1.1920928955078125e-06, 0.00273870094221086, 0.030976990302475232, 0.0009595739281996444, 2162.207651105131, 39.64341230075842, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 2.1457672119140625e-06, 9.608268737792969e-05, 0.0001819133758544922, 0.0002741813659667969, 0.00047898292541503906, 0.0033699512481689432, 0.0, 2.1909279823303223, 0.003272817414377851, 0.030675029771715143, 0.0009409574514956104, 38.473618451216446, 2260.4125696156825, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.1457672119140625e-06, 0.0002706289291381828, 0.001266765594482423, 0.005840873718261715, -1.1920928955078125e-06, 1.8009488582611084, 0.0016850693229771233, 0.03153767675352223, 0.0009946250550096564, 41.841290797170664, 1992.5164853077615, 7.510185241699219e-05, 0.00010800361633300781, 0.00016105175018310547, 0.00017905235290527344, 0.00018906593322753906, 0.0002219676971435547, 0.0002758502960205078, 0.00035500526428222656, 0.0004439353942871094, 1286, 23, 4.250388802488336, 2.3508998319591843, 5.52673001990572, 4.0096084702300425, 1.3536035503387231, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0, 5.0, 6.0, 7.0, 3187, 145, 381.29782270606535, 332.0, 249.96021601627888, 62480.1095909048, 28.348125702188703, 3.4997435540136044, 166.0, 166.0, 169.0, 249.0, 332.0, 415.0, 498.0, 579.0, 664.0, CovertCast_home_world
20098, 13308, 6790, 15414820, 14799807, 615013, 58, 1392, 766.9827843566524, 627.4555665630164, 393700.4880109159, -1.9343861315735063, -0.06823577818284349, 83.0, 83.0, 83.0, 127.0, 931.0, 1392.0, 1392.0, 1392.0, 1392.0, 58, 1392, 1112.098512173129, 489.6676441240777, 239774.40170202442, -1.3099122600214579, -0.11132905306858953, 126.0, 485.4000000000001, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 65, 1392, 90.57628865979382, 66.5002397179444, 4422.281882544069, 9.750722279242916, 107.58989980135733, 81.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 85.0, 4.990493059158325, 0.0, 0.0029440445764008913, 0.04338250628523721, 0.0018820418515886463, 8868.79833575459, 81.87674071913153, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 2.1457672119140625e-06, 8.296966552734375e-05, 0.0001800060272216797, 0.0002701282501220703, 0.0004699230194091797, 0.003615522384643556, 0.0, 0.9017488956451416, 0.0033117038854087438, 0.02397665165712129, 0.0005748798246869372, 16.969039352156713, 363.9083396604007, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.1457672119140625e-06, 0.00025010108947753906, 0.001259231567382817, 0.006203603744506835, 0.0, 4.990493059158325, 0.0022235081367885942, 0.0666560261467933, 0.004443025821681993, 65.29138629884206, 4699.410559856865, 6.4849853515625e-05, 9.799003601074219e-05, 0.0001430511474609375, 0.00017881393432617188, 0.00018906593322753906, 0.00022101402282714844, 0.0002739429473876953, 0.00035824775695800833, 0.00044181346893310556, 1175, 18, 4.359148936170213, 2.4861213316510433, 6.180799275690357, 2.894518226758839, 1.4233310020507397, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0, 6.0, 8.0, 1818, 145, 393.89106382978724, 332.0, 237.66711219269948, 56485.6562180172, 4.22236636411242, 1.6236699156973642, 166.0, 166.0, 249.0, 327.0, 332.0, 415.0, 498.0, 581.0, 688.0, CovertCast_home_world
19486, 12917, 6569, 14740559, 14149648, 590911, 60, 1392, 756.4692086626296, 627.1533115182208, 393321.27614827047, -1.9368457120698925, -0.03538795957846082, 83.0, 83.0, 83.0, 124.0, 777.5, 1392.0, 1392.0, 1392.0, 1392.0, 60, 1392, 1095.428350236123, 500.55739086672185, 250557.70155130015, -1.2237152495594177, -0.34064610338540646, 121.0, 404.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 1392.0, 65, 1084, 89.954483178566, 62.308191766592515, 3882.310761222467, 8.982947110329127, 81.36848814274954, 81.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 2.745159149169922, 0.0, 0.003065703311026448, 0.04006905106958302, 0.0016055288536168525, 3006.093443922194, 48.858003993720544, 0.0, 9.5367431640625e-07, 1.1920928955078125e-06, 3.0994415283203125e-06, 0.00011205673217773438, 0.0001900196075439453, 0.0002999305725097656, 0.0005051612854003913, 0.003930521011352541, 0.0, 2.745159149169922, 0.003580001623278323, 0.03438953265636903, 0.0011826399563234717, 46.06265476393947, 3256.524928023141, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 2.86102294921875e-06, 0.0003573894500732422, 0.001352071762084961, 0.0063478946685791016, 0.0, 2.7182888984680176, 0.002054487448483411, 0.04935050609937742, 0.002435472452264688, 46.95424977670621, 2367.2509098020773, 7.200241088867188e-05, 0.00011587142944335938, 0.00016837120056152334, 0.00018215179443359375, 0.00019598007202148438, 0.00024080276489257812, 0.0002880096435546875, 0.00036215782165527344, 0.0004391670227050781, 1236, 17, 3.9215210355987056, 1.9885162909067444, 3.9541970392015164, 3.6179977417005063, 1.4327369668516567, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0, 5.0, 6.0, 2251, 145, 355.2977346278317, 332.0, 204.43522809627865, 41793.76248677748, 9.662332353903714, 2.1251520964711217, 166.0, 166.0, 249.0, 249.0, 332.0, 332.0, 415.0, 498.0, 593.0, CovertCast_home_world
